Product_ID,Product_Name,Category,Manufacturer,Stock_Quantity,Sales_Person,Sale_Date,Unit_Price,SKU,Units_Sold,Sales_Profit
101,Brake Pad,Brakes,AutoPro Inc.,350,John Smith,2024-01-03,25,BP-1234,10,250
102,Spark Plug,Engine,EngineMax,200,Sarah Lee,2024-01-05,15,SP-5678,15,225
103,Oil Filter,Engine,FilterKing,500,Tom Brown,2024-01-07,10,OF-9123,20,200
104,Suspension Arm,Suspension,AutoFlex,120,Alice Green,2024-01-10,150,SA-3456,5,750
105,Headlight Bulb,Lighting,BrightBeam,600,Karen White,2024-01-15,8,HB-7890,25,200
106,Radiator,Cooling,CoolParts,80,John Smith,2024-01-20,250,RA-4321,2,500
107,Wiper Blade,Accessories,AutoPro Inc.,300,Sarah Lee,2024-01-25,12,WB-6789,18,216
108,Air Filter,Engine,FilterKing,400,Tom Brown,2024-01-28,20,AF-1357,12,240
109,Fuel Pump,Engine,EngineMax,150,Alice Green,2024-02-02,180,FP-2468,6,1080
110,Clutch Plate,Gearbox,AutoFlex,100,Karen White,2024-02-06,220,CP-3579,4,880
111,Brake Disc,Brakes,AutoPro Inc.,250,John Smith,2024-02-10,75,BD-4680,8,600
112,Alternator,Electrical,EngineMax,90,Sarah Lee,2024-02-15,300,AL-5791,3,900
113,Timing Belt,Engine,FilterKing,200,Tom Brown,2024-02-18,50,TB-6802,10,500
114,Exhaust Pipe,Exhaust,SystemParts,150,Alice Green,2024-02-23,100,EP-7913,7,700
115,Steering Wheel,Accessories,BrightBeam,50,Karen White,2024-03-01,180,SW-8024,2,360
116,Wheel Bearing,Suspension,AutoFlex,120,John Smith,2024-03-05,90,WB-9135,6,540
117,Shock Absorber,Suspension,AutoFlex,100,Sarah Lee,2024-03-09,120,SA-0246,5,600
118,Bumper Cover,Body,AutoPro Inc.,80,Tom Brown,2024-03-13,250,BC-1357,3,750
119,Ignition Coil,Electrical,EngineMax,200,Alice Green,2024-03-17,60,IC-2468,12,720
120,Engine Mount,Engine,FilterKing,150,Karen White,2024-03-21,95,EM-3579,8,760
121,AC Compressor,Cooling,CoolParts,60,John Smith,2024-03-26,320,AC-4680,2,640
122,Fan Belt,Engine,FilterKing,500,Sarah Lee,2024-03-30,35,FB-5791,14,490
